"","project","sample_event","stream_name","site_name","sample_date","reach_length","pct_fine","pct_sand","pct_gravel","pct_pebble","pct_cobble","pct_boulder","D50","temp","pH","conductivity","DO","alkalinity","turbidity","N","P","pct_stable","pct_eroding","pct_undercut","avg_embed","avg_stream_width","std_dev_stream_width","pct_pool","pct_riffle","pct_transition","max_depths","avg_Q_cm3_s","avg_Q_m3_s","avg_Q_cfs","std_dev_Q_cm3_s","std_dev_Q_m3_s","std_dev_Q_cfs","pct_vh","pct_vb","pct_vt","pct_a","pct_o","pct_riparian_shade","year","elevation"
"1","Yuba","Summer 2022","Oregon Creek","OC","2022-07-20",150,0,6,7,27,19,41,95,18.15,8.023333333,103.6,8.76,NA,0.083333333,0.23,0.126666667,100,0,0,13.2,NA,NA,30,57.33333333,12.66666667,80,144821.3,0.1448,5.114316418,NA,0.085,NA,0,0,2.5,97.5,0,63,2022,668.85
"2","Yuba","Summer 2022","Rock Creek","RC","2022-06-27",150,3.03030303,12.12121212,13.13131313,48.48484848,23.23232323,0,40,11.2,6.93,25.83,8.96,NA,0.1,0.23,0.2,88,5,38,11.6,NA,NA,17,71,13,23,5845,0.0058,0.206414246,NA,0.0069,NA,5,5,35,50,5,98,2022,1051.53
"3","Yuba","Summer 2022","Deer Creek","DC 1","2022-06-29",150,0,0,2,21,31,46,200,11.65,7.383333333,38.6,11.3,NA,0.266666667,0.23,0.123333333,100,0,8,9.4,NA,NA,21,79,0,84,1791727,1.7917,63.27424774,NA,0.6287,NA,3,0,8,88,3,78,2022,957.96
"4","Yuba","Summer 2022","Deer Creek","DC 2","2022-06-16",150,8,4,2,23,63,0,87.5,12.2,7.343333333,38.2,11.00333333,NA,0.263333333,0.23,0.07,93,0,28,6.4,NA,NA,49,35,16,80,963196,0.9632,34.01494889,NA,0.2613,NA,35,3,45,15,3,62,2022,766.35
"5","Yuba","Summer 2022","Deer Creek","DC 4","2022-07-19",150,1,7,5,22,26,39,180,12.55,7.48,54.53333333,10.51666667,NA,0.46,0.23,0.323333333,100,0,0,25.04,NA,NA,0,93.33333333,6.666666667,95,1270329,1.2703,44.86124943,NA,0.8474,NA,3,0,3,95,0,70,2022,705.94
"6","Yuba","Summer 2022","Deer Creek","DC 6","2022-06-30",150,1,10,1,25,37,26,132.5,19.96666667,7.64,102.5666667,8.15,NA,0.53,0.23,0.123333333,100,0,5,0,NA,NA,24,52.66666667,23.33333333,95,110892,0.1109,3.916114386,NA,0.0766,NA,10,5,10,75,0,66,2022,366.76
"7","Yuba","Summer 2022","Deer Creek","DC 8","2022-07-05",150,0,5,0,26,40,29,130,21.8,7.983333333,200.0333333,10.54333333,NA,0.26,1.046666667,2.2,100,0,0,11,NA,NA,46.66666667,49.33333333,4,57,49052,0.0491,1.732255193,NA,0.0462,NA,30,2.5,20,47.5,0,55,2022,247.16
"8","Yuba","Summer 2022","Deer Creek","DC 10","2022-06-23",150,0,0,7,25,21,47,225,24,8.1,161.2,8.9,NA,0.41,0.346,1.97,100,0,17.5,17.6,NA,NA,57.33333333,23.33333333,19.33333333,85,99218.6,0.0992,3.503872117,NA,0.091,NA,32.5,2.5,12.5,52.5,0,48,2022,198.62
"9","Yuba","Summer 2022","Little Deer Creek","DC 11","2022-05-31",150,17,11,12,39,16,5,40,10.6,7.103333333,50.83333333,9.823333333,NA,0.46,0.275666667,0.16,82.5,7.5,15,18.6,NA,NA,37.33333333,55.33333333,7.333333333,83,58097.928,0.0581,2.051709155,NA,0.031,NA,32.5,2.5,20,37.5,10,90,2022,754.65
"10","Yuba","Summer 2022","Squirrel Creek","DC 15","2022-06-15",140,0,3,6,68,23,0,45,16.65,7.563333333,150.7666667,11.17,NA,0.553333333,0.329666667,0.12,87.5,2.5,20,16.4,NA,NA,48,26.66666667,25.33333333,98,NA,NA,NA,NA,NA,NA,32.5,32.5,15,15,5,65,2022,426.16
"11","Yuba","Summer 2022","Squirrel Creek","DC 16","2022-07-06",150,1,10,4,43,23,19,59.5,21.43333333,7.816666667,159.0666667,7.536666667,NA,0.483333333,0.23,0.23,95,0,7.5,22.2,NA,NA,78,18.66666667,3.333333333,105,4308.5,0.0043,0.152153256,NA,0.008,NA,27.5,0,17.5,52.5,2.5,73,2022,276.54
"12","Yuba","Summer 2022","Bear River","BR 1","2022-06-21",150,3,0,4,32,61,0,70,10.38333333,7.356666667,75.6,9.826666667,NA,0.32,0.23,0.22,92.5,2.5,27.5,12,NA,NA,12.66666667,78,9.333333333,65,393988,0.394,13.9135562,NA,0.104,NA,12.5,10,35,37.5,5,90,2022,1405.47
"13","Yuba","Summer 2022","Bear River","BR 2","2022-07-27",150,0,5,3,43,47,2,64.5,17.38333333,7.393333333,39.73333333,10.14333333,NA,0.17,0.23,0.093333333,100,0,0,4.6,NA,NA,0,72,28,70,1760381.5,1.7604,62.16729175,NA,2.4258,NA,0,0,40,60,0,25,2022,672.71
"14","Yuba","Summer 2022","Steephollow Creek","BR 3","2022-07-25",150,0,7,4,56,32,1,50,18.56666667,7.096666667,92.46666667,8.27,NA,0.073333333,0.23,0.093333333,100,0,0,18.4,NA,NA,12.66666667,83.33333333,4,76,165543,0.1655,5.846096416,NA,0.0864,NA,0,2.5,32.5,47.5,17.5,29,2022,675.22
"15","Yuba","Summer 2022","Dry Creek","BR 12","2022-08-03",150,6.18556701,12.37113402,10.30927835,22.68041237,35.05154639,13.40206186,90,24.03333333,7.726666667,178.0666667,7.343333333,NA,1.21,0.23,0.083333333,75,5,32.5,20.2,NA,NA,42,42.66666667,15.33333333,120,147555.5,0.1476,5.210873789,NA,0.1474,NA,45,0,32.5,22.5,0,56,2022,97.67
"16","Creek Surveys","Summer 2023","Oregon Creek","OC","2023-06-30",100,0,8,4,30,27,31,110,16.3,7.79,76.5,9.25,NA,0.2,NA,NA,97.5,0,2.5,1660,942,290.9,27,35,38,99,702895,0.7029,24.82250497,NA,0.2547,NA,0,0,0,92.5,7.5,58,2023,668.85
"17","Creek Surveys","Summer 2023","Shady Creek","SC","2023-06-29",100,1.020408163,26.53061224,7.142857143,54.08163265,10.20408163,1.020408163,30,16.8,7.91,109.7,NA,NA,NA,NA,NA,2.5,92.5,30,4600,247.75,77.3,0,72,28,21,22679.5,0.0227,0.800919058,NA,0.0079,NA,2.5,0,37.5,2.5,62.5,75,2023,582.2
